Secs,LocalTime,Lat,Lon,CourseWindDirection,CourseWindSpeed
46832.201,13:00:32.201,37.8208882,-122.4509555,265.8,18.5
46832.401,13:00:32.401,37.8208889,-122.4509576,265.8,18.5
46832.601,13:00:32.601,37.8208895,-122.4509595,265.6,18.5
46832.801,13:00:32.801,37.8208901,-122.4509614,265.5,18.5
46833.001,13:00:33.001,37.8208908,-122.4509631,265.4,18.5
46833.201,13:00:33.201,37.8208916,-122.4509647,265.4,18.6
46833.401,13:00:33.401,37.8208924,-122.4509662,265.3,18.6
46833.601,13:00:33.601,37.8208933,-122.4509675,265.2,18.6
46833.801,13:00:33.801,37.8208943,-122.4509688,265.1,18.6
46834.001,13:00:34.001,37.8208954,-122.4509703,265.0,18.6
46834.201,13:00:34.201,37.8208965,-122.4509719,265.0,18.6
46834.401,13:00:34.401,37.8208977,-122.4509735,264.9,18.6
46834.601,13:00:34.601,37.8208988,-122.4509751,264.9,18.6
46834.801,13:00:34.801,37.8208999,-122.4509769,264.8,18.6
46835.001,13:00:35.001,37.8209010,-122.4509787,264.8,18.6
46835.201,13:00:35.201,37.8209021,-122.4509806,264.7,18.6
46835.401,13:00:35.401,37.8209033,-122.4509824,264.7,18.6
46835.601,13:00:35.601,37.8209045,-122.4509843,264.7,18.6
46835.801,13:00:35.801,37.8209057,-122.4509862,264.6,18.6
46836.001,13:00:36.001,37.8209072,-122.4509881,264.6,18.6
46836.201,13:00:36.201,37.8209087,-122.4509903,264.6,18.7
46836.401,13:00:36.401,37.8209102,-122.4509926,264.6,18.7
46836.601,13:00:36.601,37.8209118,-122.4509950,264.6,18.7
46836.801,13:00:36.801,37.8209134,-122.4509976,264.5,18.7
46837.001,13:00:37.001,37.8209151,-122.4510002,264.5,18.7
46837.201,13:00:37.201,37.8209169,-122.4510029,264.5,18.7
46837.401,13:00:37.401,37.8209187,-122.4510055,264.5,18.7
46837.601,13:00:37.601,37.8209205,-122.4510079,264.5,18.7
46837.801,13:00:37.801,37.8209223,-122.4510103,264.5,18.7
46838.001,13:00:38.001,37.8209241,-122.4510125,264.5,18.7
46838.201,13:00:38.201,37.8209259,-122.4510149,264.5,18.7
46838.401,13:00:38.401,37.8209279,-122.4510170,264.5,18.7
46838.601,13:00:38.601,37.8209300,-122.4510193,264.5,18.7
46838.801,13:00:38.801,37.8209324,-122.4510217,264.5,18.8
46839.001,13:00:39.001,37.8209350,-122.4510243,264.5,18.8
46839.201,13:00:39.201,37.8209376,-122.4510273,264.5,18.8
46839.401,13:00:39.401,37.8209402,-122.4510303,264.5,18.8
46839.601,13:00:39.601,37.8209427,-122.4510334,264.5,18.8
46839.801,13:00:39.801,37.8209453,-122.4510366,264.5,18.8
46840.001,13:00:40.001,37.8209477,-122.4510398,264.5,18.8
46840.201,13:00:40.201,37.8209503,-122.4510432,264.5,18.8
46840.401,13:00:40.401,37.8209528,-122.4510465,264.4,18.8
46840.601,13:00:40.601,37.8209554,-122.4510496,264.4,18.8
46840.801,13:00:40.801,37.8209580,-122.4510530,264.4,18.8
46841.001,13:00:41.001,37.8209606,-122.4510564,264.4,18.8
46841.201,13:00:41.201,37.8209632,-122.4510599,264.4,18.8
46841.401,13:00:41.401,37.8209658,-122.4510633,264.4,18.9
46841.601,13:00:41.601,37.8209685,-122.4510668,264.4,18.9
46841.801,13:00:41.801,37.8209714,-122.4510704,264.3,18.9
46842.001,13:00:42.001,37.8209742,-122.4510740,264.3,18.9
46842.201,13:00:42.201,37.8209771,-122.4510778,264.3,18.9
46842.401,13:00:42.401,37.8209802,-122.4510816,264.3,18.9
46842.601,13:00:42.601,37.8209834,-122.4510855,264.3,18.9
46842.801,13:00:42.801,37.8209865,-122.4510897,264.3,18.9
46843.001,13:00:43.001,37.8209897,-122.4510942,264.2,18.9
46843.201,13:00:43.201,37.8209928,-122.4510989,264.2,18.9
46843.401,13:00:43.401,37.8209959,-122.4511035,264.2,18.9
46843.601,13:00:43.601,37.8209991,-122.4511081,264.2,18.9
46843.801,13:00:43.801,37.8210022,-122.4511125,264.2,18.9
46844.001,13:00:44.001,37.8210053,-122.4511168,264.1,18.9
46844.201,13:00:44.201,37.8210083,-122.4511210,264.1,18.9
46844.401,13:00:44.401,37.8210113,-122.4511248,264.1,18.9
46844.601,13:00:44.601,37.8210144,-122.4511287,264.1,18.9
46844.801,13:00:44.801,37.8210174,-122.4511327,264.1,18.9
46845.001,13:00:45.001,37.8210204,-122.4511369,264.0,18.9
46845.201,13:00:45.201,37.8210233,-122.4511414,264.0,18.9
46845.401,13:00:45.401,37.8210264,-122.4511460,264.0,19.0
46845.601,13:00:45.601,37.8210294,-122.4511507,264.0,19.0
46845.801,13:00:45.801,37.8210323,-122.4511556,264.0,19.0
46846.001,13:00:46.001,37.8210352,-122.4511605,264.0,19.0
46846.201,13:00:46.201,37.8210380,-122.4511654,264.0,19.0
46846.401,13:00:46.401,37.8210407,-122.4511703,264.0,19.0
46846.601,13:00:46.601,37.8210433,-122.4511751,263.9,19.0
46846.801,13:00:46.801,37.8210460,-122.4511799,263.9,19.0
46847.001,13:00:47.001,37.8210486,-122.4511847,263.9,19.0
46847.201,13:00:47.201,37.8210513,-122.4511895,263.9,19.0
46847.401,13:00:47.401,37.8210540,-122.4511941,263.9,19.1
46847.601,13:00:47.601,37.8210566,-122.4511986,263.9,19.1
46847.801,13:00:47.801,37.8210592,-122.4512030,263.9,19.1
