Secs,LocalTime,Lat,Lon,CourseWindDirection,CourseWindSpeed
46832.200,13:00:32.200,37.8276971,-122.4624699,265.9,18.5
46832.400,13:00:32.400,37.8276988,-122.4624749,265.8,18.5
46832.600,13:00:32.600,37.8277004,-122.4624799,265.6,18.5
46832.800,13:00:32.800,37.8277019,-122.4624850,265.5,18.5
46833.000,13:00:33.000,37.8277035,-122.4624901,265.5,18.5
46833.200,13:00:33.200,37.8277051,-122.4624955,265.4,18.6
46833.400,13:00:33.400,37.8277065,-122.4625008,265.3,18.6
46833.600,13:00:33.600,37.8277080,-122.4625061,265.2,18.6
46833.800,13:00:33.800,37.8277095,-122.4625116,265.1,18.6
46834.000,13:00:34.000,37.8277110,-122.4625170,265.1,18.6
46834.200,13:00:34.200,37.8277126,-122.4625225,265.0,18.6
46834.400,13:00:34.400,37.8277140,-122.4625278,265.0,18.6
46834.600,13:00:34.600,37.8277154,-122.4625331,264.9,18.6
46834.800,13:00:34.800,37.8277166,-122.4625384,264.8,18.6
46835.000,13:00:35.000,37.8277178,-122.4625438,264.8,18.6
46835.200,13:00:35.200,37.8277190,-122.4625492,264.8,18.6
46835.400,13:00:35.400,37.8277201,-122.4625548,264.7,18.6
46835.600,13:00:35.600,37.8277212,-122.4625604,264.7,18.6
46835.800,13:00:35.800,37.8277223,-122.4625660,264.7,18.6
46836.000,13:00:36.000,37.8277233,-122.4625715,264.6,18.6
46836.200,13:00:36.200,37.8277245,-122.4625768,264.6,18.7
46836.400,13:00:36.400,37.8277255,-122.4625819,264.6,18.7
46836.600,13:00:36.600,37.8277265,-122.4625867,264.6,18.7
46836.800,13:00:36.800,37.8277275,-122.4625914,264.5,18.7
46837.000,13:00:37.000,37.8277285,-122.4625961,264.5,18.7
46837.200,13:00:37.200,37.8277297,-122.4626008,264.5,18.7
46837.400,13:00:37.400,37.8277308,-122.4626057,264.5,18.7
46837.600,13:00:37.600,37.8277320,-122.4626108,264.5,18.7
46837.800,13:00:37.800,37.8277331,-122.4626162,264.5,18.7
46838.000,13:00:38.000,37.8277343,-122.4626216,264.5,18.7
46838.200,13:00:38.200,37.8277355,-122.4626271,264.5,18.7
46838.400,13:00:38.400,37.8277367,-122.4626325,264.5,18.7
46838.600,13:00:38.600,37.8277380,-122.4626378,264.5,18.7
46838.800,13:00:38.800,37.8277393,-122.4626430,264.5,18.7
46839.000,13:00:39.000,37.8277406,-122.4626480,264.5,18.8
46839.200,13:00:39.200,37.8277419,-122.4626529,264.5,18.8
46839.400,13:00:39.400,37.8277430,-122.4626576,264.5,18.8
46839.600,13:00:39.600,37.8277442,-122.4626623,264.5,18.8
46839.800,13:00:39.800,37.8277452,-122.4626670,264.5,18.8
46840.000,13:00:40.000,37.8277461,-122.4626720,264.5,18.8
46840.200,13:00:40.200,37.8277470,-122.4626773,264.5,18.8
46840.400,13:00:40.400,37.8277477,-122.4626827,264.5,18.8
46840.600,13:00:40.600,37.8277486,-122.4626883,264.4,18.8
46840.800,13:00:40.800,37.8277493,-122.4626936,264.4,18.8
46841.000,13:00:41.000,37.8277501,-122.4626990,264.4,18.8
46841.200,13:00:41.200,37.8277509,-122.4627041,264.4,18.8
46841.400,13:00:41.400,37.8277517,-122.4627091,264.4,18.9
46841.600,13:00:41.600,37.8277525,-122.4627142,264.4,18.9
